exp_name,model,train,test,in_acc,in_auc,in_eer,cross_acc,cross_auc,cross_eer
de_ast_r01,ast,commonvoice-de,mailabs-de,0.9981606376456161,0.9999766931400017,0.0018393623543838135,0.9261290322580645,0.9845939646201873,0.0696774193548387
de_ast_r02,ast,commonvoice-de,mailabs-de,0.9947884733292459,0.9998612865913002,0.005518087063151441,0.89,0.9619071800208117,0.11548387096774193
de_ast_r03,ast,commonvoice-de,mailabs-de,0.9963212752912324,0.9998312132235606,0.003678724708767627,0.9209677419354839,0.9817498439125911,0.07870967741935483
de_resnet18_r01,resnet18,commonvoice-de,mailabs-de,0.9996934396076027,0.9999977444974195,0.0,0.9458064516129032,0.9972482830385017,0.027096774193548386
de_resnet18_r02,resnet18,commonvoice-de,mailabs-de,1.0,1.0,0.0,0.9790322580645161,0.9985494276795005,0.017419354838709676
de_resnet18_r03,resnet18,commonvoice-de,mailabs-de,1.0,1.0,0.0,0.9441935483870968,0.9957864724245578,0.02967741935483871
de_resnet50_r01,resnet50,commonvoice-de,mailabs-de,1.0,1.0,0.0,0.9758064516129032,0.9989972944849115,0.016129032258064516
de_resnet50_r02,resnet50,commonvoice-de,mailabs-de,1.0,1.0,0.0,0.9187096774193548,0.9856869927159209,0.07741935483870968
de_resnet50_r03,resnet50,commonvoice-de,mailabs-de,1.0,1.0,0.0,0.9838709677419355,0.999797710718002,0.0070967741935483875
de_septr_r01,septr,commonvoice-de,mailabs-de,0.940220723482526,0.9258067462834015,0.15450643776824036,0.7974193548387096,0.7678847034339231,0.2903225806451613
de_septr_r02,septr,commonvoice-de,mailabs-de,0.9414469650521152,0.9458307222758322,0.12691600245248313,0.7719354838709678,0.7552499479708636,0.30193548387096775
de_septr_r03,septr,commonvoice-de,mailabs-de,0.9589209074187615,0.9880277923027969,0.056407112201103615,0.7135483870967742,0.8036308012486992,0.27806451612903227
